"grid-item href","dates","cat-ev","contenu","contenu 2","buy-see 2","buy-see href 2"
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-5/","samedi 7 décembre 2024","Les animations pour les tout-petits","Bébé-lecteurs #5","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-6/","samedi 7 décembre 2024","Les animations pour les tout-petits","Bébé-lecteurs #6","","",""
"https://archipel.ville-fouesnant.fr/agenda/un-apprentissage/","mercredi 11 décembre 2024","Théâtre","Un apprentissage","Cie Le Temps Qu'il Faut | Pierre-Yves Chapalain","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=826"
"https://archipel.ville-fouesnant.fr/agenda/quatuor-ardeo/","jeudi 12 décembre 2024","Musique","Quatuor Ardeo","Variations Goldberg de Bach/Meïmoun","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=827"
"https://archipel.ville-fouesnant.fr/agenda/club-cine-2/","vendredi 13 décembre 2024","Projection","Club ciné #2","en lien avec Jean-Clone","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-5/","samedi 14 décembre 2024","Les animations pour les tout-petits","Bébé-musiciens #5","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-6/","samedi 14 décembre 2024","Les animations pour les tout-petits","Bébé-musiciens #6","","",""
"https://archipel.ville-fouesnant.fr/agenda/johanna-baget/","samedi 14 décembre 2024","Showcase","Johanna Baget","En showcase","",""
"https://archipel.ville-fouesnant.fr/agenda/1834/","mardi 17 décembre 2024","Danse","18’34’’","Cie Arcosm | Thomas Guerry","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=828"
"https://archipel.ville-fouesnant.fr/agenda/1834-2/","mardi 17 décembre 2024","Danse","18’34’’","Cie Arcosm | Thomas Guerry","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=828"
"https://archipel.ville-fouesnant.fr/agenda/yoga-du-son-2/","samedi 21 décembre 2024","Atelier","Yoga du son #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/a-voix-haute-2/","mercredi 8 janvier 2025","Lecture","À voix haute #2","FORT","",""
"https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-4/","vendredi 10 janvier 2025","Participation","Ensachage de graines","Vie de la Grainothèque","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-7/","samedi 11 janvier 2025","Les animations pour les tout-petits","Bébé-lecteurs #7","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-8/","samedi 11 janvier 2025","Les animations pour les tout-petits","Bébé-lecteurs #8","","",""
"https://archipel.ville-fouesnant.fr/agenda/irish-time/","samedi 11 janvier 2025","Showcase","Irish Time","En showcase","",""
"https://archipel.ville-fouesnant.fr/agenda/tanguy-de-williencourt/","dimanche 12 janvier 2025","Musique","Tanguy de Williencourt","Beethoven et Liszt","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=829"
"https://archipel.ville-fouesnant.fr/agenda/en-bullez-vous/","mardi 14 janvier 2025","Rencontre","En Bullez-vous !","Présentation littéraire | Bande dessinée","",""
"https://archipel.ville-fouesnant.fr/agenda/fort/","jeudi 16 janvier 2025","Musique","FORT","Cie À brûle-pourpoint | Catherine Anne et Benoît Menut","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=830"
"https://archipel.ville-fouesnant.fr/agenda/visite-guidee-4/","vendredi 17 janvier 2025","Rencontre","Visite guidée","de Signées des eaux (Mare fecit)","",""
"https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-catherine-anne/","vendredi 17 janvier 2025","Échange","Un petit déjeuner avec Catherine Anne","autour du spectacle FORT","",""
"https://archipel.ville-fouesnant.fr/agenda/club-cine-3/","vendredi 17 janvier 2025","Projection","Club ciné #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/signees-des-eaux-mare-fecit/","Du 18 janvier au 29 mars 2025","Exposition","Signées des eaux (Mare fecit)","Laurent Noël","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-8/","samedi 18 janvier 2025","Les animations pour les tout-petits","Bébé-musiciens #8","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-7/","samedi 18 janvier 2025","Les animations pour les tout-petits","Bébé-musiciens #7","","",""
"https://archipel.ville-fouesnant.fr/agenda/atelier-2tonnes-3/","samedi 18 janvier 2025","Atelier","Atelier 2tonnes #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/ceremonial-pollen/","mardi 21 janvier 2025","Musique","Cérémonial Pollen","La Soustraction des fleurs","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=832"
"https://archipel.ville-fouesnant.fr/agenda/dans-la-peau-dun-magicien-1/","samedi 25 janvier 2025","Magie","Dans la peau d’un magicien #1","Cie Le Phalène | Thierry Collet | Éric Didry","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=833"
"https://archipel.ville-fouesnant.fr/agenda/yoga-du-rire-2/","samedi 25 janvier 2025","Atelier","Yoga du rire #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/cafe-carbone-3/","samedi 25 janvier 2025","Conversation","Café Carbone #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/dans-la-peau-dun-magicien-2/","dimanche 26 janvier 2025","Magie","Dans la peau d’un magicien #2","Cie Le Phalène | Thierry Collet | Éric Didry","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=833"
"https://archipel.ville-fouesnant.fr/agenda/cafe-astro-2/","mardi 28 janvier 2025","Conférence","Café Astro #2","La face cachée des relations Terre-Lune","",""
"https://archipel.ville-fouesnant.fr/agenda/fantomes/","jeudi 30 janvier 2025","Musique","Fantômes","Jî Drû","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=834"
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-9/","samedi 1 février 2025","Les animations pour les tout-petits","Bébé-musiciens #9","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-10/","samedi 1 février 2025","Les animations pour les tout-petits","Bébé-musiciens #10","","",""
"https://archipel.ville-fouesnant.fr/agenda/cafe-dys-trucs-et-astuces-2/","samedi 1 février 2025","Rencontre","Café-DYS, trucs et astuces #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/quest-ce-que-du-beau-travail/","mardi 4 février 2025","Café-philo","Qu’est-ce que du beau travail ?","Café-philo avec Yan Marchand","",""
"https://archipel.ville-fouesnant.fr/agenda/club-de-lecture-3/","mercredi 5 février 2025","Club","Club de lecture #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/edene/","jeudi 6 février 2025","Théâtre","Édène","Cie L'entente cordiale | Alice Zeniter | d’après Jack London","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=836"
"https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-alice-zeniter/","vendredi 7 février 2025","Échange","Un petit déjeuner avec Alice Zeniter","autour du spectacle Édène","",""
"https://archipel.ville-fouesnant.fr/agenda/club-cine-4/","vendredi 7 février 2025","Projection","Club ciné #4","","",""
"https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-5/","vendredi 7 février 2025","Participation","Ensachage de graines","Vie de la Grainothèque","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-9/","samedi 8 février 2025","Les animations pour les tout-petits","Bébé-lecteurs #9","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-10/","samedi 8 février 2025","Les animations pour les tout-petits","Bébé-lecteurs #10","","",""
"https://archipel.ville-fouesnant.fr/agenda/ensemble-vocal-talea/","samedi 8 février 2025","Showcase","Ensemble Vocal TALEA","En showcase","",""
"https://archipel.ville-fouesnant.fr/agenda/les-ptites-oreilles-2/","jeudi 20 février 2025","Les animations pour les tout-petits","Les p’tites oreilles #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/aprem-jeux-2/","vendredi 21 février 2025","Jeu","Aprem’ jeux #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/voyage-baroque-a-bord-dun-clavecin/","mardi 25 février 2025","Conférence","Voyage baroque à bord d’un clavecin","Le coin de l'oreille #3","",""
"https://archipel.ville-fouesnant.fr/agenda/dafne-kritharas/","jeudi 27 février 2025","Musique","Dafné Kritharas","Prayer & Sin","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=838"
"https://archipel.ville-fouesnant.fr/agenda/heka/","samedi 1 mars 2025","Cirque","Heka","Gandini Juggling","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=839"
"https://archipel.ville-fouesnant.fr/agenda/yoga-du-son-3/","samedi 1 mars 2025","Atelier","Yoga du son #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/apero-bulles-2/","mercredi 5 mars 2025","Club","Apéro bulles #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/dominique-a-2/","jeudi 6 mars 2025","Musique","Dominique A","Quelques lumières en trio","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=840"
"https://archipel.ville-fouesnant.fr/agenda/bebe-signe-1-2/","vendredi 7 mars 2025","Les animations pour les tout-petits","Bébé-signe #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-signe-2/","vendredi 7 mars 2025","Les animations pour les tout-petits","Bébé-signe #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/club-cine-5/","vendredi 7 mars 2025","Projection","Club ciné #5","","",""
"https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-6/","vendredi 7 mars 2025","Participation","Ensachage de graines","Vie de la Grainothèque","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-12/","samedi 8 mars 2025","Les animations pour les tout-petits","Bébé-lecteurs #12","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-11/","samedi 8 mars 2025","Les animations pour les tout-petits","Bébé-lecteurs #11","","",""
