title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name;book_link
Roberto Fonseca;La Gran Diversión;;2024-11-17T20:00:00+0200;2024-11-17T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/roberto-fonseca/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=819
DÉRAPAGE;Les Sea Girls | Pierre Guillois;;2024-11-21T20:00:00+0200;2024-11-21T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/derapage/;;Humour;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?seance=1111
Le Mois du film documentaire;;;2024-11-22T20:00:00+0200;2024-11-22T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/le-mois-du-film-documentaire-5/;;Projection;;
Jean-Clone;Collectif AÏE AÏE AÏE | Julien Mellano;;2024-11-28T20:00:00+0200;2024-11-28T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/jean-clone/;;Théâtre;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=821
Un petit déjeuner avec Julien Mellano;autour du spectacle Jean-Clone;;2024-11-29T20:00:00+0200;2024-11-29T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-julien-mellano/;;Échange;;
Ouverture des inscriptions aux animations de la Médiathèque;Deuxième partie de la saison 2024-2025;;2024-11-30T20:00:00+0200;2024-11-30T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ouverture-des-inscriptions-aux-animations-de-la-mediatheque-6/;;;;
CHET – A Tribute to Chet Baker;David Enhco et Marc Perrenoud;;2024-12-01T20:00:00+0200;2024-12-01T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/chet/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=823
Quelles sont les limites de l’être humain ?;Café-philo avec Yan Marchand;;2024-12-03T20:00:00+0200;2024-12-03T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/quelles-sont-les-limites-de-letre-humain/;;Café-philo;;
Ensachage de graines;Vie de la Grainothèque;;2024-12-06T20:00:00+0200;2024-12-06T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-3/;;Participation;;
Rêves;Cirque Inshi | Roman Khafizov;;2024-12-07T20:00:00+0200;2024-12-07T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/reves/;;Cirque;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=825
